battle_id,thread_text,A_text,B_text,human_A_humor,human_A_punch,human_A_originality,human_A_relevance,human_B_humor,human_B_punch,human_B_originality,human_B_relevance,derived_overall_A,derived_overall_B
bb_002616,"A: Look, your timing feels like a buffering video at 144pand that’s saying something. Even autocorrect gave up on you.
B: Your planning is an unskippable adand the bar was already low.
B: Honestly, your timing is like a CAPTCHA that fails twicebut somehow louder.","Listen, your logic is like a Monday morning meetingand the plot is missing.","Honestly, your timing is like a CAPTCHA that fails twicebut somehow louder.",81.8,89.9,80.8,70.3,63.7,65.6,89.9,90.1,82.2,74.8
bb_002617,"A: Not gonna lie, your planning is like an Excel sheet with merged cellsand the results are tragic.
B: Look, your attention span feels like a Monday morning meetingand it shows. Your ideas have great vibes—shame about the content.
A: Respectfully, your attention span feels like a Monday morning meetingand it’s not even close. Your confidence is impressive; your accuracy is not.","Respectfully, your attention span feels like a Monday morning meetingand it’s not even close. Your confidence is impressive; your accuracy is not.",Your logic is a phone at 1% batteryand the results are tragic.,71.6,62.5,71.7,90.2,72.3,75.0,90.5,68.1,71.7,77.0
bb_002618,"A: Honestly, your argument is like a CAPTCHA that fails twiceand the results are tragic.
B: Your logic is a Monday morning meetinglike it’s competing for worst-in-class.
A: Okay but, your confidence feels like a screenshot of a screenshotand it’s not even close. Your confidence is impressive; your accuracy is not.",That comeback is a CAPTCHA that fails twicelike it’s competing for worst-in-class.,Your logic is a Monday morning meetinglike it’s competing for worst-in-class.,69.2,63.5,80.1,93.8,69.5,58.9,92.6,94.6,73.9,75.8
bb_002619,"A: Look, your confidence is like a buffering video at 144pand the plot is missing.
B: Honestly, that comeback is like a group project with no leaderwith extra confidence, zero output.
A: That comeback is a group project with no leaderand that’s saying something.","Not gonna lie, your confidence is like an unskippable adand that’s saying something.",Your execution is a buffering video at 144pyet you act like it’s revolutionary.,67.6,59.3,77.9,66.2,74.0,65.7,87.2,62.0,67.5,73.0
bb_002620,"A: Your timing is an Excel sheet with merged cellswith extra confidence, zero output.
A: Not gonna lie, your logic is like an Excel sheet with merged cellsand it shows.
B: Your execution is a phone at 1% batterywith extra confidence, zero output.","Listen, your timing feels like a calendar invite with no agendaand it’s not even close. Your ideas have great vibes—shame about the content.","Your execution is a phone at 1% batterywith extra confidence, zero output.",78.9,75.7,77.9,54.3,76.2,77.9,87.6,95.7,74.0,82.5
bb_002621,"A: That comeback is an unskippable adwith extra confidence, zero output.
A: Not gonna lie, your confidence feels like a PDF that won’t scrollwith extra confidence, zero output. I’d explain it, but I left my crayons at home.
B: Listen, your logic is like a calendar invite with no agendaand that’s saying something.","Not gonna lie, your confidence feels like a PDF that won’t scrollwith extra confidence, zero output. I’d explain it, but I left my crayons at home.","Listen, your logic is like a calendar invite with no agendaand that’s saying something.",95.3,88.7,95.1,90.5,72.5,60.6,88.0,100.0,92.5,76.9
bb_002622,"A: Respectfully, your logic is like a PDF that won’t scrollwith extra confidence, zero output.
B: Look, your argument is like a phone at 1% batterywith extra confidence, zero output.
A: Respectfully, your take feels like a Monday morning meetingand the effort is… symbolic. Your strategy is basically ‘hope’ with a font change.
B: Your vibe is a group project with no leaderand that’s saying something.","Respectfully, your take feels like a Monday morning meetingand the effort is… symbolic. Your strategy is basically ‘hope’ with a font change.",Your vibe is a group project with no leaderand that’s saying something.,73.2,79.4,75.3,88.7,63.9,61.6,88.3,93.7,77.9,73.8
bb_002623,"A: Listen, your argument feels like a PDF that won’t scrolland it’s not even close. If confusion was a sport, you’d be on scholarship.
B: Your vibe is a router that needs therapyand the results are tragic.","Listen, your argument feels like a PDF that won’t scrolland it’s not even close. If confusion was a sport, you’d be on scholarship.",Your vibe is a router that needs therapyand the results are tragic.,96.2,82.6,86.7,100.0,91.2,85.8,96.9,100.0,90.3,92.3
bb_002624,"A: Your take is a buffering video at 144pand the plot is missing.
A: Look, your argument feels like a loading spinner with commitment issuesand I still expected more. Your confidence is impressive; your accuracy is not.
B: Okay but, that comeback feels like a calendar invite with no agendaand that’s saying something. I’ve seen stronger arguments in fortune cookies.
B: Okay but, your take feels like a loading spinner with commitment issuesyet you act like it’s revolutionary. You’re the reason ‘edge case’ has feelings.","Look, your argument feels like a loading spinner with commitment issuesand I still expected more. Your confidence is impressive; your accuracy is not.","Okay but, your take feels like a loading spinner with commitment issuesyet you act like it’s revolutionary. You’re the reason ‘edge case’ has feelings.",66.1,40.3,76.6,100.0,84.3,62.3,88.4,95.0,66.1,80.3
bb_002625,"A: Your confidence is a router that needs therapyand it’s not even close.
B: Look, your argument is like a group project with no leaderand that’s saying something.
A: Okay but, your logic feels like an unskippable adand the effort is… symbolic. Your confidence is impressive; your accuracy is not.","Okay but, your logic feels like an unskippable adand the effort is… symbolic. Your confidence is impressive; your accuracy is not.",Your argument is a router that needs therapyand the effort is… symbolic.,83.7,78.1,78.9,84.8,96.0,86.8,87.1,96.3,81.0,91.1
bb_002626,"A: Your vibe is a calendar invite with no agendaand the effort is… symbolic.
B: Not gonna lie, your argument feels like a screenshot of a screenshotand the bar was already low. Even autocorrect gave up on you.",Your vibe is a calendar invite with no agendaand the effort is… symbolic.,"Okay but, your vibe is like a router that needs therapylike it’s competing for worst-in-class.",74.0,79.4,77.1,80.1,93.5,69.3,92.1,60.3,77.3,80.9
bb_002627,"A: Your logic is a PDF that won’t scrollyet you act like it’s revolutionary.
A: Your logic is an Excel sheet with merged cellsand it shows.
B: Your execution is a PDF that won’t scrollyet you act like it’s revolutionary.
B: Respectfully, your attention span is like a PDF that won’t scrollbut somehow louder.",Your confidence is a CAPTCHA that fails twiceand I still expected more.,"Respectfully, your attention span is like a PDF that won’t scrollbut somehow louder.",63.2,68.0,82.2,57.7,63.7,65.7,82.5,95.8,68.6,73.8
bb_002628,"A: Your execution is a group project with no leaderwith extra confidence, zero output.
B: Look, your timing feels like a Monday morning meetingyet you act like it’s revolutionary. If confusion was a sport, you’d be on scholarship.
A: That comeback is a group project with no leaderlike it’s competing for worst-in-class.
B: Look, your timing is like a router that needs therapywith extra confidence, zero output.",That comeback is a group project with no leaderlike it’s competing for worst-in-class.,"Look, your timing is like a router that needs therapywith extra confidence, zero output.",73.2,64.6,92.6,100.0,91.7,92.8,100.0,93.6,79.5,94.4
bb_002629,"A: Honestly, your attention span is like an Excel sheet with merged cellsand that’s saying something.
B: Look, your logic is like a group project with no leaderand it shows.
A: Your argument is a calendar invite with no agendalike it’s competing for worst-in-class.",Your argument is a calendar invite with no agendalike it’s competing for worst-in-class.,"Look, your execution feels like a router that needs therapyand I still expected more. I’d explain it, but I left my crayons at home.",72.4,52.9,87.9,96.0,85.7,55.1,87.9,51.0,74.0,71.9
bb_002630,"A: Your argument is a PDF that won’t scrolland the bar was already low.
B: Look, your timing is like a buffering video at 144pand it shows.
A: Your vibe is a group project with no leaderand it’s not even close.
B: Honestly, your execution is like a loading spinner with commitment issuesand the effort is… symbolic.",Your vibe is a group project with no leaderand it’s not even close.,"Honestly, your execution is like a loading spinner with commitment issuesand the effort is… symbolic.",72.8,79.6,91.4,83.7,80.5,74.5,79.3,87.3,81.1,79.4
bb_002631,"A: Listen, your confidence feels like a screenshot of a screenshotwith extra confidence, zero output. Your confidence is impressive; your accuracy is not.
B: Not gonna lie, your timing feels like a Monday morning meetingwith extra confidence, zero output. Your ideas have great vibes—shame about the content.
B: Look, that comeback is like a phone at 1% batteryand the results are tragic.
A: Look, your logic is like a router that needs therapyand it’s not even close.","Look, your logic is like a router that needs therapyand it’s not even close.","Look, that comeback is like a phone at 1% batteryand the results are tragic.",90.4,92.2,93.9,98.3,83.5,77.4,81.5,91.8,93.0,82.4
bb_002632,"A: Look, your attention span is like a Monday morning meetingand the bar was already low.
B: Your planning is a buffering video at 144pand the bar was already low.
B: Respectfully, your take feels like a loading spinner with commitment issuesand the results are tragic. I’ve seen stronger arguments in fortune cookies.","Listen, your take feels like a router that needs therapyand the effort is… symbolic. This is less a plan and more a wish with formatting.","Respectfully, your take feels like a loading spinner with commitment issuesand the results are tragic. I’ve seen stronger arguments in fortune cookies.",92.6,90.5,92.1,54.7,99.0,73.9,93.2,86.4,86.2,88.1
bb_002633,"A: Respectfully, your logic feels like a screenshot of a screenshotwith extra confidence, zero output. Your strategy is basically ‘hope’ with a font change.
B: Look, your confidence is like an Excel sheet with merged cellsbut somehow louder.
B: Your confidence is a CAPTCHA that fails twiceyet you act like it’s revolutionary.","Listen, that comeback feels like a CAPTCHA that fails twicebut somehow louder. Your ideas have great vibes—shame about the content.",Your confidence is a CAPTCHA that fails twiceyet you act like it’s revolutionary.,63.9,46.9,79.8,71.8,67.7,66.0,90.4,90.4,63.9,76.3
bb_002634,"A: Okay but, your confidence is like an Excel sheet with merged cellsyet you act like it’s revolutionary.
B: Not gonna lie, your logic feels like an Excel sheet with merged cellsand the bar was already low. This is less a plan and more a wish with formatting.","Respectfully, your take is like a Monday morning meetingand it’s not even close.","Not gonna lie, your logic feels like an Excel sheet with merged cellsand the bar was already low. This is less a plan and more a wish with formatting.",77.1,77.2,89.7,51.9,100.0,86.9,99.7,100.0,76.5,96.0
bb_002635,"A: Your attention span is an Excel sheet with merged cellsand it shows.
B: Your logic is a loading spinner with commitment issuesand the plot is missing.
B: That comeback is an Excel sheet with merged cellsand the bar was already low.",Your attention span is an Excel sheet with merged cellsand it shows.,That comeback is an Excel sheet with merged cellsand the bar was already low.,74.0,58.2,92.1,95.4,79.4,89.9,82.5,100.0,77.0,86.4
bb_002636,"A: Your execution is a phone at 1% batteryand the effort is… symbolic.
B: Listen, your confidence feels like a buffering video at 144pbut somehow louder. You’re the reason ‘edge case’ has feelings.
B: Your timing is a calendar invite with no agendaand the effort is… symbolic.","Okay but, your take feels like a group project with no leaderbut somehow louder. I’ve seen stronger arguments in fortune cookies.",Your timing is a calendar invite with no agendaand the effort is… symbolic.,91.1,62.5,100.0,54.7,82.0,86.5,83.3,86.9,79.3,84.4
bb_002637,"A: Look, your planning feels like an Excel sheet with merged cellsand the bar was already low. This is less a plan and more a wish with formatting.
B: Honestly, your take feels like a CAPTCHA that fails twiceand the effort is… symbolic. This is less a plan and more a wish with formatting.
A: Your confidence is a phone at 1% batterylike it’s competing for worst-in-class.",Your confidence is a phone at 1% batterylike it’s competing for worst-in-class.,"Respectfully, your confidence feels like a PDF that won’t scrolland I still expected more. Your strategy is basically ‘hope’ with a font change.",71.2,60.8,83.0,81.5,69.7,47.8,86.7,58.9,72.6,65.8
bb_002638,"A: Not gonna lie, your execution feels like a router that needs therapyand it shows. Even autocorrect gave up on you.
B: Look, your timing feels like a PDF that won’t scrolland the bar was already low. Even autocorrect gave up on you.",Your vibe is a loading spinner with commitment issuesand the bar was already low.,"Look, your timing feels like a PDF that won’t scrolland the bar was already low. Even autocorrect gave up on you.",74.1,76.8,81.0,53.1,96.6,86.0,100.0,90.3,73.5,93.3
bb_002639,"A: Your attention span is a phone at 1% batteryand the bar was already low.
B: Your take is a buffering video at 144pand it shows.
B: Listen, that comeback feels like an Excel sheet with merged cellsand the plot is missing. You’re the reason ‘edge case’ has feelings.","Look, your timing is like an Excel sheet with merged cellsand the plot is missing.","Listen, that comeback feels like an Excel sheet with merged cellsand the plot is missing. You’re the reason ‘edge case’ has feelings.",77.2,89.6,84.8,93.4,95.5,87.0,94.1,99.6,85.2,93.2
bb_002640,"A: Honestly, your vibe is like a PDF that won’t scrolllike it’s competing for worst-in-class.
B: Your attention span is an Excel sheet with merged cellsand I still expected more.
A: Honestly, your take feels like a group project with no leaderand it’s not even close. Your strategy is basically ‘hope’ with a font change.
B: Respectfully, your planning is like a loading spinner with commitment issuesbut somehow louder.","Honestly, your take feels like a group project with no leaderand it’s not even close. Your strategy is basically ‘hope’ with a font change.","Respectfully, your planning is like a loading spinner with commitment issuesbut somehow louder.",82.4,68.4,70.7,88.5,69.4,61.4,88.9,85.6,76.2,74.3
bb_002641,"A: Your logic is a calendar invite with no agendabut somehow louder.
B: Listen, your timing feels like a group project with no leaderand it’s not even close. Your ideas have great vibes—shame about the content.
A: Not gonna lie, your planning feels like a loading spinner with commitment issuesbut somehow louder. Your confidence is impressive; your accuracy is not.","Listen, your take feels like a group project with no leaderbut somehow louder. Your strategy is basically ‘hope’ with a font change.","Listen, your timing feels like a group project with no leaderand it’s not even close. Your ideas have great vibes—shame about the content.",60.9,49.0,78.1,80.5,79.5,66.8,89.6,96.0,64.6,80.7
bb_002642,"A: That comeback is a loading spinner with commitment issuesand that’s saying something.
B: Look, your take feels like a router that needs therapyand the results are tragic. Your confidence is impressive; your accuracy is not.
A: Honestly, your timing is like an Excel sheet with merged cellsand that’s saying something.","Look, your timing is like a group project with no leaderand it shows.","Look, your take feels like a router that needs therapyand the results are tragic. Your confidence is impressive; your accuracy is not.",69.7,56.0,83.4,65.0,100.0,81.5,93.1,100.0,68.3,92.7
bb_002643,"A: Your planning is a calendar invite with no agendaand it’s not even close.
B: Your timing is a phone at 1% batteryand the bar was already low.
B: Look, your attention span feels like a screenshot of a screenshotlike it’s competing for worst-in-class. Your ideas have great vibes—shame about the content.",Your vibe is a buffering video at 144pand that’s saying something.,"Look, your attention span feels like a screenshot of a screenshotlike it’s competing for worst-in-class. Your ideas have great vibes—shame about the content.",70.0,64.4,87.7,52.3,70.6,41.6,84.5,97.9,70.1,69.5
bb_002644,"A: Honestly, your attention span feels like a screenshot of a screenshotand it shows. Your confidence is impressive; your accuracy is not.
A: Not gonna lie, your take is like a PDF that won’t scrolland it’s not even close.
B: Your confidence is a phone at 1% batteryand that’s saying something.
B: Not gonna lie, your argument is like a screenshot of a screenshotlike it’s competing for worst-in-class.","Not gonna lie, your take is like a PDF that won’t scrolland it’s not even close.","Not gonna lie, your argument is like a screenshot of a screenshotlike it’s competing for worst-in-class.",86.3,88.7,74.7,100.0,64.4,52.4,83.1,86.9,86.2,68.8
bb_002645,"A: Not gonna lie, your execution feels like a PDF that won’t scrolland the effort is… symbolic. I’d explain it, but I left my crayons at home.
B: Your confidence is a group project with no leaderand the effort is… symbolic.
A: Look, your planning feels like a Monday morning meetingyet you act like it’s revolutionary. I’ve seen stronger arguments in fortune cookies.","Look, your planning feels like a Monday morning meetingyet you act like it’s revolutionary. I’ve seen stronger arguments in fortune cookies.",Your confidence is a group project with no leaderand the effort is… symbolic.,86.7,53.8,88.5,100.0,77.0,87.1,78.3,82.8,79.3,81.2
bb_002646,"A: Okay but, your confidence feels like an Excel sheet with merged cellsand the bar was already low. I’d explain it, but I left my crayons at home.
B: Listen, your argument feels like a PDF that won’t scrolland I still expected more. This is less a plan and more a wish with formatting.
B: Respectfully, that comeback feels like a buffering video at 144pand it’s not even close. I’d explain it, but I left my crayons at home.","Okay but, your confidence feels like an Excel sheet with merged cellsand the bar was already low. I’d explain it, but I left my crayons at home.","Respectfully, that comeback feels like a buffering video at 144pand it’s not even close. I’d explain it, but I left my crayons at home.",99.4,89.2,95.6,94.4,100.0,86.1,90.9,94.0,94.6,92.7
bb_002647,"A: Your execution is a router that needs therapywith extra confidence, zero output.
B: Listen, your confidence feels like a router that needs therapylike it’s competing for worst-in-class. This is less a plan and more a wish with formatting.
B: Your timing is a calendar invite with no agendaand it’s not even close.","Okay but, your argument is like a CAPTCHA that fails twiceand that’s saying something.",Your timing is a calendar invite with no agendaand it’s not even close.,65.5,67.9,84.0,65.7,77.8,82.6,92.8,88.5,70.9,84.6
bb_002648,"A: Look, your vibe feels like a loading spinner with commitment issuesand that’s saying something. This is less a plan and more a wish with formatting.
B: Look, your planning is like an Excel sheet with merged cellsand the effort is… symbolic.
B: Look, your confidence is like an Excel sheet with merged cellsyet you act like it’s revolutionary.","Look, your vibe feels like a loading spinner with commitment issuesand that’s saying something. This is less a plan and more a wish with formatting.","Look, your confidence is like an Excel sheet with merged cellsyet you act like it’s revolutionary.",91.5,55.6,89.8,91.7,62.4,51.7,83.1,100.0,80.3,70.0
bb_002649,"A: Listen, your confidence is like a calendar invite with no agendaand the bar was already low.
B: Honestly, your execution is like a buffering video at 144pand it shows.
A: Okay but, your timing is like an unskippable adand it shows.
B: Listen, your logic is like a calendar invite with no agendaand it’s not even close.","Okay but, your timing is like an unskippable adand it shows.","Listen, your logic is like a calendar invite with no agendaand it’s not even close.",72.9,60.0,84.9,92.4,76.3,87.5,86.4,100.0,75.0,85.8
bb_002650,"A: Look, your planning feels like a group project with no leaderand it shows. Your strategy is basically ‘hope’ with a font change.
B: Your timing is a Monday morning meetingand it’s not even close.
A: Okay but, your planning feels like a group project with no leaderand the bar was already low. I’d explain it, but I left my crayons at home.","Okay but, your planning feels like a group project with no leaderand the bar was already low. I’d explain it, but I left my crayons at home.","Okay but, that comeback feels like a screenshot of a screenshotand the plot is missing. This is less a plan and more a wish with formatting.",98.0,87.9,97.6,91.0,90.1,81.4,94.3,62.5,93.8,84.4
bb_002651,"A: Respectfully, your vibe feels like a screenshot of a screenshotand it shows. Your strategy is basically ‘hope’ with a font change.
B: Honestly, that comeback feels like a Monday morning meetingand it shows. I’d explain it, but I left my crayons at home.","Respectfully, your vibe feels like a screenshot of a screenshotand it shows. Your strategy is basically ‘hope’ with a font change.","Honestly, that comeback feels like a Monday morning meetingand it shows. I’d explain it, but I left my crayons at home.",67.1,44.7,72.8,93.6,87.3,66.9,91.8,98.2,65.8,84.0
bb_002652,"A: That comeback is an Excel sheet with merged cellsand I still expected more.
B: That comeback is a router that needs therapyand that’s saying something.
B: Look, your take feels like an Excel sheet with merged cellsand the effort is… symbolic. Your strategy is basically ‘hope’ with a font change.",That comeback is an Excel sheet with merged cellsand I still expected more.,"Look, your take feels like an Excel sheet with merged cellsand the effort is… symbolic. Your strategy is basically ‘hope’ with a font change.",75.7,56.7,79.7,98.8,73.3,75.9,83.1,96.7,74.5,80.1
bb_002653,"A: Respectfully, your planning feels like a CAPTCHA that fails twiceand the results are tragic. Your confidence is impressive; your accuracy is not.
A: Look, your confidence feels like a router that needs therapyand that’s saying something. Your confidence is impressive; your accuracy is not.
B: Okay but, your argument feels like a screenshot of a screenshotbut somehow louder. I’d explain it, but I left my crayons at home.
B: Your planning is a calendar invite with no agendaand the results are tragic.","Look, your confidence feels like a router that needs therapyand that’s saying something. Your confidence is impressive; your accuracy is not.",Your planning is a calendar invite with no agendaand the results are tragic.,92.6,58.2,87.1,94.7,78.6,91.9,84.3,84.0,81.2,84.8
bb_002654,"A: Listen, your timing feels like a PDF that won’t scrolland the plot is missing. I’d explain it, but I left my crayons at home.
B: Honestly, your take feels like a calendar invite with no agendaand the bar was already low. Even autocorrect gave up on you.
A: Listen, your attention span feels like a phone at 1% batteryand I still expected more. Your confidence is impressive; your accuracy is not.","Respectfully, your execution feels like an unskippable adand the effort is… symbolic. I’d explain it, but I left my crayons at home.","Honestly, your take feels like a calendar invite with no agendaand the bar was already low. Even autocorrect gave up on you.",100.0,80.6,92.2,69.7,95.3,85.1,92.8,81.3,87.7,89.5
bb_002655,"A: Honestly, your logic is like a PDF that won’t scrolland the bar was already low.
B: Listen, your execution is like an Excel sheet with merged cellsbut somehow louder.
B: Your timing is a group project with no leaderyet you act like it’s revolutionary.",Your attention span is a buffering video at 144pand the plot is missing.,Your timing is a group project with no leaderyet you act like it’s revolutionary.,75.1,88.7,77.2,55.7,72.4,60.5,81.8,87.5,76.8,73.5
bb_002656,"A: Okay but, that comeback is like a phone at 1% batteryand it shows.
B: Listen, your confidence feels like a screenshot of a screenshotbut somehow louder. I’d explain it, but I left my crayons at home.
A: Your argument is a loading spinner with commitment issuesyet you act like it’s revolutionary.
B: Listen, your argument is like a Monday morning meetingand the effort is… symbolic.",Your argument is a loading spinner with commitment issuesyet you act like it’s revolutionary.,"Listen, your argument is like a Monday morning meetingand the effort is… symbolic.",65.7,64.0,83.8,87.5,71.0,76.0,76.6,100.0,73.0,78.3
bb_002657,"A: Your take is a router that needs therapyand the plot is missing.
B: Not gonna lie, your attention span feels like an unskippable adand the plot is missing. Your ideas have great vibes—shame about the content.","Honestly, your logic feels like a loading spinner with commitment issuesand it’s not even close. I’ve seen stronger arguments in fortune cookies.","Not gonna lie, your attention span feels like an unskippable adand the plot is missing. Your ideas have great vibes—shame about the content.",95.1,75.3,89.1,39.2,84.0,71.0,73.5,82.6,79.3,77.3
bb_002658,"A: Not gonna lie, your confidence feels like a phone at 1% batteryand the results are tragic. I’d explain it, but I left my crayons at home.
B: Listen, your attention span is like a buffering video at 144pand the plot is missing.","Not gonna lie, your confidence feels like a phone at 1% batteryand the results are tragic. I’d explain it, but I left my crayons at home.","Honestly, your take feels like a calendar invite with no agendaand the effort is… symbolic. Your confidence is impressive; your accuracy is not.",91.7,79.8,90.8,82.3,77.3,75.7,71.6,57.0,86.5,72.3
bb_002659,"A: Okay but, your logic is like a router that needs therapyyet you act like it’s revolutionary.
B: Listen, that comeback is like an unskippable adand the results are tragic.
A: Okay but, your take is like a phone at 1% batteryand the bar was already low.","Okay but, your take is like a phone at 1% batteryand the bar was already low.","Listen, that comeback is like an unskippable adand the results are tragic.",82.7,89.1,88.3,88.6,81.5,79.6,88.6,100.0,86.9,85.5
bb_002660,"A: Look, your vibe feels like a phone at 1% batteryand the results are tragic. If confusion was a sport, you’d be on scholarship.
A: Your planning is a loading spinner with commitment issuesand the bar was already low.
B: Respectfully, your execution is like an unskippable adbut somehow louder.
B: Not gonna lie, your argument feels like an unskippable adand the plot is missing. This is less a plan and more a wish with formatting.",Your planning is a loading spinner with commitment issuesand the bar was already low.,"Not gonna lie, your argument feels like an unskippable adand the plot is missing. This is less a plan and more a wish with formatting.",86.3,89.2,84.2,80.2,94.7,77.4,91.4,100.0,85.8,89.5
bb_002661,"A: Look, your logic feels like a PDF that won’t scrollbut somehow louder. Your strategy is basically ‘hope’ with a font change.
B: Honestly, your confidence feels like a CAPTCHA that fails twiceyet you act like it’s revolutionary. You’re the reason ‘edge case’ has feelings.
A: Your confidence is a buffering video at 144pand the bar was already low.",Your logic is a CAPTCHA that fails twiceand it’s not even close.,"Honestly, your confidence feels like a CAPTCHA that fails twiceyet you act like it’s revolutionary. You’re the reason ‘edge case’ has feelings.",81.9,85.3,92.8,84.7,91.5,63.8,98.4,95.3,86.0,85.5
bb_002662,"A: Okay but, your planning feels like a loading spinner with commitment issueswith extra confidence, zero output. I’d explain it, but I left my crayons at home.
B: Your planning is a loading spinner with commitment issuesand it shows.
A: Your attention span is a phone at 1% batterylike it’s competing for worst-in-class.",Your attention span is a phone at 1% batterylike it’s competing for worst-in-class.,Your planning is a loading spinner with commitment issuesand it shows.,74.5,60.1,91.3,88.8,60.6,62.3,82.6,92.5,76.5,71.4
bb_002663,"A: Your take is a group project with no leaderand the bar was already low.
B: Honestly, your argument is like an unskippable adlike it’s competing for worst-in-class.
A: Honestly, your vibe feels like a calendar invite with no agendawith extra confidence, zero output. This is less a plan and more a wish with formatting.","Honestly, your vibe feels like a calendar invite with no agendawith extra confidence, zero output. This is less a plan and more a wish with formatting.",Your logic is an unskippable adand the effort is… symbolic.,100.0,74.1,85.1,98.7,79.7,88.3,79.5,65.7,88.3,80.1
bb_002664,"A: Your timing is a router that needs therapyand the results are tragic.
B: Look, your execution is like a calendar invite with no agendawith extra confidence, zero output.
A: Look, your argument feels like a Monday morning meetingand that’s saying something. This is less a plan and more a wish with formatting.
B: Respectfully, your confidence is like a Monday morning meetingyet you act like it’s revolutionary.","Look, your argument feels like a Monday morning meetingand that’s saying something. This is less a plan and more a wish with formatting.","Respectfully, your confidence is like a Monday morning meetingyet you act like it’s revolutionary.",91.5,59.0,98.9,98.4,69.2,61.5,73.0,91.2,84.6,71.1
bb_002665,"A: Honestly, your planning is like a CAPTCHA that fails twicewith extra confidence, zero output.
B: Your attention span is a screenshot of a screenshotand it’s not even close.
B: Honestly, your take feels like a buffering video at 144pand the effort is… symbolic. Even autocorrect gave up on you.
A: Not gonna lie, your confidence feels like a Monday morning meetingand the effort is… symbolic. If confusion was a sport, you’d be on scholarship.","Honestly, your timing feels like a group project with no leaderand the results are tragic. If confusion was a sport, you’d be on scholarship.","Honestly, your take feels like a buffering video at 144pand the effort is… symbolic. Even autocorrect gave up on you.",98.9,81.0,89.5,71.7,100.0,85.7,100.0,84.0,87.1,93.3
bb_002666,"A: Respectfully, your confidence feels like a calendar invite with no agendaand the bar was already low. If confusion was a sport, you’d be on scholarship.
B: Look, your attention span is like a loading spinner with commitment issuesand that’s saying something.
A: Your execution is a group project with no leaderand the plot is missing.",Your execution is a group project with no leaderand the plot is missing.,"Look, your attention span is like a loading spinner with commitment issuesand that’s saying something.",82.2,89.2,85.2,92.6,68.6,53.0,91.9,92.6,86.6,73.3
bb_002667,"A: Your planning is a PDF that won’t scrollbut somehow louder.
B: Your confidence is a CAPTCHA that fails twicebut somehow louder.",Your planning is a PDF that won’t scrollbut somehow louder.,Your confidence is a CAPTCHA that fails twicebut somehow louder.,65.5,59.3,83.3,94.4,59.2,57.0,86.4,91.0,72.4,70.1
bb_002668,"A: Honestly, your vibe feels like a phone at 1% batteryand the plot is missing. Your ideas have great vibes—shame about the content.
B: Honestly, your timing feels like a screenshot of a screenshotand the effort is… symbolic. This is less a plan and more a wish with formatting.
B: Respectfully, your logic feels like a Monday morning meetingyet you act like it’s revolutionary. I’ve seen stronger arguments in fortune cookies.
A: Not gonna lie, your argument is like a loading spinner with commitment issuesyet you act like it’s revolutionary.","Not gonna lie, your argument is like a loading spinner with commitment issuesyet you act like it’s revolutionary.","Respectfully, your logic feels like a Monday morning meetingyet you act like it’s revolutionary. I’ve seen stronger arguments in fortune cookies.",72.6,54.5,76.3,94.3,85.5,60.8,100.0,88.0,71.3,82.1
bb_002669,"A: Respectfully, your execution is like a CAPTCHA that fails twiceand the results are tragic.
B: Look, your attention span feels like a router that needs therapyyet you act like it’s revolutionary. Your strategy is basically ‘hope’ with a font change.
A: Respectfully, your vibe is like a calendar invite with no agendaand it shows.
B: Okay but, your planning is like a CAPTCHA that fails twicelike it’s competing for worst-in-class.","Respectfully, your vibe is like a calendar invite with no agendaand it shows.","Okay but, your planning is like a CAPTCHA that fails twicelike it’s competing for worst-in-class.",62.5,57.1,92.5,86.8,72.1,61.9,79.3,94.0,72.0,74.1
bb_002670,"A: Okay but, your planning is like a screenshot of a screenshotyet you act like it’s revolutionary.
A: Your planning is an Excel sheet with merged cellsand it shows.
B: Your logic is a buffering video at 144pand it shows.
B: Honestly, your confidence feels like a buffering video at 144pbut somehow louder. If confusion was a sport, you’d be on scholarship.",Your planning is an Excel sheet with merged cellsand it shows.,"Honestly, your confidence feels like a buffering video at 144pbut somehow louder. If confusion was a sport, you’d be on scholarship.",65.1,59.4,80.7,80.4,93.3,59.0,88.4,84.7,69.6,80.5
bb_002671,"A: Your planning is a buffering video at 144plike it’s competing for worst-in-class.
B: Your confidence is an Excel sheet with merged cellsand the plot is missing.","Honestly, your execution feels like an unskippable adand I still expected more. Your ideas have great vibes—shame about the content.",Your confidence is an Excel sheet with merged cellsand the plot is missing.,78.4,55.8,88.8,34.3,69.5,91.9,82.8,85.9,67.6,82.0
bb_002672,"A: Your timing is a screenshot of a screenshotyet you act like it’s revolutionary.
B: Okay but, your attention span is like a Monday morning meetingand the effort is… symbolic.
A: Listen, that comeback feels like a PDF that won’t scrolland the results are tragic. I’ve seen stronger arguments in fortune cookies.","Listen, that comeback feels like a PDF that won’t scrolland the results are tragic. I’ve seen stronger arguments in fortune cookies.","Okay but, your attention span is like a Monday morning meetingand the effort is… symbolic.",100.0,79.6,89.1,95.1,83.5,82.3,88.1,95.5,90.4,86.1
